sensor_type,device_type,timestamps,x,y,z
magnetometer,smartphone,156315274500.0,-3.875,-28.4375,-36.6875
magnetometer,smartphone,157315274500.0,2.3125,-24.375,-45.625
magnetometer,smartphone,158315274500.0,4.75,-29.3125,-41.625
magnetometer,smartphone,159315274500.0,0.625,-27.4375,-42.3125
magnetometer,smartphone,160315274500.0,-0.3125,-28.5,-42.1875
magnetometer,smartphone,161315274500.0,0.1875,-30.125,-41.25
magnetometer,smartphone,162315274500.0,-5.1875,-27.8125,-42.25
magnetometer,smartphone,163315274500.0,-4.875,-29.3125,-40.9375
magnetometer,smartphone,164315274500.0,-5.9375,-30.5625,-37.875
magnetometer,smartphone,165315274500.0,-2.4375,-28.4375,-42.5
magnetometer,smartphone,166315274500.0,-3.125,-28.0625,-37.8125
magnetometer,smartphone,167315274500.0,-4.25,-25.9375,-38.1875
magnetometer,smartphone,168315274500.0,-2.0,-29.8125,-39.8125
magnetometer,smartphone,169315274500.0,-3.0625,-25.6875,-41.3125
magnetometer,smartphone,170315274500.0,0.125,-28.75,-38.625
magnetometer,smartphone,171315274500.0,1.0625,-27.8125,-42.9375
magnetometer,smartphone,172315274500.0,-3.5625,-26.375,-42.5
magnetometer,smartphone,173315274500.0,-5.8125,-26.8125,-42.9375
magnetometer,smartphone,174315274500.0,-10.125,-32.4375,-36.3125
magnetometer,smartphone,175315274500.0,-8.875,-29.6875,-40.375
magnetometer,smartphone,176315274500.0,-3.625,-29.8125,-38.75
magnetometer,smartphone,177315274500.0,-6.0625,-28.875,-38.5
magnetometer,smartphone,178315274500.0,-6.125,-32.1875,-35.9375
magnetometer,smartphone,179315274500.0,-7.4375,-33.0625,-36.4375
magnetometer,smartphone,180315274500.0,-8.0625,-28.0625,-36.9375
magnetometer,smartphone,181315274500.0,-8.5625,-29.6875,-37.6875
magnetometer,smartphone,182315274500.0,-5.5625,-28.375,-39.8125
magnetometer,smartphone,183315274500.0,-3.5625,-29.4375,-39.875
magnetometer,smartphone,184315274500.0,-4.0625,-29.75,-40.9375
magnetometer,smartphone,185315274500.0,5.5,-30.625,-40.9375
magnetometer,smartphone,186315274500.0,-8.375,-35.875,-34.1875
magnetometer,smartphone,187315274500.0,-7.125,-31.875,-39.5
magnetometer,smartphone,188315274500.0,-2.5,-33.4375,-39.25
magnetometer,smartphone,189315274500.0,-1.875,-33.5,-39.1875
magnetometer,smartphone,190315274500.0,-3.4375,-31.6875,-40.375
magnetometer,smartphone,191315274500.0,-3.25,-29.6875,-42.375
magnetometer,smartphone,192315274500.0,-2.4375,-30.0,-41.25
magnetometer,smartphone,193315274500.0,-4.8125,-29.6875,-41.125
magnetometer,smartphone,194315274500.0,-5.4375,-30.125,-40.1875
magnetometer,smartphone,195315274500.0,9.0625,-35.3125,-40.9375
