,acc_phone_x,acc_phone_y,acc_phone_z,lin_acc_phone_x,lin_acc_phone_y,lin_acc_phone_z,mag_phone_x,mag_phone_y,mag_phone_z,labelCycling,labelStairs,labelWalking,labelSitting,labelOther
1970-01-01 00:00:23.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:24.011252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:24.261252605,-9.576807022,-0.4979939461,-3.3327288630000003,-0.6667999625,0.7868999839,-0.1032999977,31.8125,-9.875,38.4375,0,0,0,0,0
1970-01-01 00:00:24.511252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:24.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:25.011252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:25.261252605,-7.738059998,-1.723825216,-1.905784607,0.8840999603,1.334499955,1.045599937,30.75,-5.0,42.875,0,0,0,0,0
1970-01-01 00:00:25.511252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:25.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:26.011252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:26.261252605,-8.963891029,-0.03830722719,-6.042964935,-0.5941999554999999,1.186699986,-1.289099932,22.75,-7.375,47.875,0,0,0,0,0
1970-01-01 00:00:26.511252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:26.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:27.011252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:27.261252605,-7.1251444820000005,0.7278373241,-4.453215122,0.5069999695,-0.5690000057,1.232299924,19.8125,-13.3125,48.4375,0,0,0,0,0
1970-01-01 00:00:27.511252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:27.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:28.011252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:28.261252605,-5.899312973,4.865017891,-5.401319027,-0.4408999979,-0.9289000034,0.25819998980000003,10.1875,-34.0625,45.25,0,0,0,0,0
1970-01-01 00:00:28.511252605,,,,,,,,,,0,0,0,0,0
