,acc_phone_x,acc_phone_y,acc_phone_z,lin_acc_phone_x,lin_acc_phone_y,lin_acc_phone_z,mag_phone_x,mag_phone_y,mag_phone_z,labelCycling,labelStairs,labelWalking,labelSitting,labelOther
1970-01-01 01:17:01.011252605,0.07661445438999999,0.1149216816,9.701305389,-0.0625,0.056499999020000004,0.12860000130000002,-33.0,8.375,-39.4375,0,1,1,0,0
1970-01-01 01:17:02.011252605,0.07661445438999999,0.1149216816,9.701305389,-0.06209999695,0.08799999952,-0.03810000047,-32.3125,8.5625,-38.75,0,0,1,0,0
1970-01-01 01:17:03.011252605,0.07661445438999999,-0.038307227189999994,9.701305389,-0.09359999745999999,-0.05639999732000001,0.1289999932,-33.3125,8.0625,-39.4375,0,0,1,0,0
1970-01-01 01:17:04.011252605,0.2298433632,0.1149216816,9.538499832000001,-0.08089999855,-0.05009999871,-0.03790000081,-32.9375,8.25,-38.8125,0,0,1,0,0
1970-01-01 01:17:05.011252605,0.8427590131999999,-1.26413846,9.222464561,0.5579000115,-0.8587999940000001,-0.3483999968,-33.1875,10.3125,-38.4375,0,0,1,0,0
1970-01-01 01:17:06.011252605,-2.834734917,2.873042107,8.111555099,0.5230000019,-0.7917000055,0.07689999789,-27.3125,-10.25,-41.1875,0,0,1,0,0
1970-01-01 01:17:07.011252605,-2.375048161,3.0262708660000004,8.743624687,0.2599000037,-0.29600000379999997,0.1557999998,-32.875,-5.6875,-34.4375,0,0,1,0,0
1970-01-01 01:17:08.011252605,-1.7621324059999999,4.711789131000001,9.385271072,-0.2073999941,0.5188999772,0.9990999698999999,-31.0,4.1875,-33.0,0,0,1,0,0
1970-01-01 01:17:09.011252605,-1.302445769,3.179499865,8.590395927000001,-0.10189999640000001,-0.326399982,-0.24889999629999998,-20.25,9.75,-45.8125,0,0,1,0,0
1970-01-01 01:17:10.011252605,-0.2298433632,3.0262708660000004,9.385271072,0.3409000039,-0.394299984,0.5636999607000001,-23.625,13.5625,-54.3125,0,0,1,0,0
1970-01-01 01:17:11.011252605,-0.9959878922,3.0262708660000004,9.069235802,0.20430000129999998,-0.05359999835,0.08179999887999999,-29.3125,8.0625,-49.25,0,0,1,0,0
1970-01-01 01:17:12.011252605,-0.9959878922,2.1068975930000002,9.385271072,0.5282999872999999,-0.34219998119999995,0.1068999991,-41.1875,-12.375,-35.5625,0,0,1,0,0
1970-01-01 01:17:13.011252605,-4.979939461,0.42137950659999995,8.590395927000001,-3.504199982,-1.566799998,-0.6707999706000001,-37.4375,-16.5625,-29.25,0,0,1,0,0
1970-01-01 01:17:14.011252605,-4.060565948,3.79241538,8.42759037,-0.9728999734,0.6410999894,-0.38359999659999994,-29.5,-11.1875,-50.6875,0,0,1,0,0
1970-01-01 01:17:15.011252605,-3.141192675,4.252102375,8.274360657,-0.333799988,0.44759997729999995,-0.047499999400000006,-26.375,-7.5,-54.4375,0,0,1,0,0
1970-01-01 01:17:16.011252605,-2.375048161,5.631162167,7.469909191,0.010900000109999999,0.1111999974,-0.029600000010000002,-24.9375,-13.0625,-53.375,0,0,1,0,0
1970-01-01 01:17:17.011252605,-2.375048161,6.244078159,7.316680431,-0.1572999954,0.122299999,0.3044999838,-24.75,-17.375,-51.0,0,0,1,0,0
1970-01-01 01:17:18.011252605,-1.915361404,6.244078159,7.1538748739999996,-0.1196999997,0.1116999984,0.06529999524,-27.5625,-20.25,-49.4375,0,0,1,0,0
1970-01-01 01:17:19.011252605,-2.375048161,6.703764915,6.042964935,-0.3716999888000001,0.23199999329999998,-0.7353999615000001,-22.4375,-23.125,-51.75,0,0,1,0,0
1970-01-01 01:17:20.011252605,-2.221819162,7.010222435,6.675034523,-0.217599988,0.2365999967,0.1740999967,-26.1875,-24.0625,-51.25,0,0,1,0,0
1970-01-01 01:17:21.011252605,-2.068590164,6.856993675,6.521805286,-0.24059998989999998,0.28619998690000004,-0.1976999938,-28.375,-27.5625,-49.625,0,0,1,0,0
1970-01-01 01:17:22.011252605,-1.6089035269999998,7.010222435,6.521805286,0.1981000006,0.06469999998999999,0.18529999260000002,-27.625,-28.0,-46.8125,0,0,1,0,0
1970-01-01 01:17:23.011252605,-1.915361404,7.010222435,6.521805286,0.07699999957999999,-0.0008999999845,0.31659999489999996,-24.9375,-29.4375,-49.9375,0,0,1,0,0
1970-01-01 01:17:24.011252605,-3.7541081910000003,6.397306919,5.248090267,-0.04279999807,-0.6290000081,-0.2852999866,-15.0625,-37.1875,-46.1875,0,0,1,0,0
1970-01-01 01:17:25.011252605,-6.358999729,5.631162167,5.880159377999999,-0.7297999859000001,0.1640999913,0.42139998079999996,6.1875,-6.9375,-45.0625,0,0,1,0,0
1970-01-01 01:17:26.011252605,-5.592854977000001,7.776367187999999,7.1538748739999996,-1.290899992,1.4168000219999999,1.6922999619999999,26.75,-5.625,-32.5,0,0,1,0,0
1970-01-01 01:17:27.011252605,-2.375048161,5.018246651,4.453215122,1.91079998,-0.8872999548999999,-1.842700005,24.25,-6.75,-31.5,0,0,1,0,0
1970-01-01 01:17:28.011252605,3.141192675,5.018246651,9.222464561,0.0042999996799999995,0.027699999510000003,1.715299964,-2.0,-11.0,-44.0625,0,0,1,0,0
1970-01-01 01:17:29.011252605,1.6089035269999998,4.252102375,6.205770969,0.2779999971,-0.4408999979,-2.089299917,3.5,-7.5,-44.3125,0,0,1,0,0
1970-01-01 01:17:30.011252605,-0.07661445438999999,4.405331135,6.675034523,0.7483999729,0.08280000091,-1.875499964,-8.8125,2.9375,-47.375,0,0,1,1,0
1970-01-01 01:17:31.011252605,-4.213795185,5.018246651,7.316680431,-1.585699916,0.6563000083,-0.7919999956999999,26.625,4.9375,-30.5625,0,0,0,1,0
