"Time (s)"	"Illuminance (lx)"
1.011205278E3	3.311000000E3
1.012205278E3	2.798000000E3
1.013205278E3	4.404000000E3
1.014205278E3	2.901000000E3
1.015205278E3	3.423000000E3
1.016205278E3	2.472000000E3
1.017205278E3	3.086000000E3
1.018205278E3	3.214000000E3
1.019205278E3	2.668000000E3
1.020205278E3	3.904000000E3
1.021205278E3	8.672000000E3
1.022205278E3	1.020600000E4
1.023205278E3	1.085700000E4
1.024205278E3	1.159800000E4
1.025205278E3	1.034100000E4
1.026205278E3	7.169000000E3
1.027205278E3	7.081000000E3
1.028205278E3	7.427000000E3
1.029205278E3	6.975000000E3
1.030205278E3	8.427000000E3
1.031205278E3	8.600000000E3
1.032205278E3	8.876000000E3
1.033205278E3	1.081300000E4
1.034205278E3	1.103900000E4
1.035205278E3	1.110500000E4
1.036205278E3	1.101700000E4
1.037205278E3	1.098900000E4
1.038205278E3	1.095400000E4
1.039205278E3	1.095400000E4
1.040205278E3	1.103600000E4
1.041205278E3	1.058000000E4
1.042205278E3	1.075600000E4
1.043205278E3	1.286200000E4
1.044205278E3	1.396500000E4
1.045205278E3	1.437400000E4
1.046205278E3	1.471700000E4
1.047205278E3	1.547400000E4
1.048205278E3	1.536700000E4
1.049205278E3	1.706800000E4
1.050205278E3	1.410400000E4
1.051205278E3	1.627600000E4
1.052205278E3	1.461600000E4
1.053205278E3	1.524200000E4
1.054205278E3	1.554600000E4
1.055205278E3	1.594600000E4
1.056205278E3	1.479200000E4
1.057205278E3	1.501500000E4
1.058205278E3	1.544000000E4
1.059205278E3	1.559000000E4
1.060205278E3	1.638600000E4
1.061205278E3	1.528600000E4
1.062205278E3	1.524500000E4
1.063205278E3	1.454400000E4
1.064205278E3	1.446500000E4
1.065205278E3	1.466300000E4
1.066205278E3	1.160500000E4
1.067205278E3	1.268000000E4
1.068205278E3	1.738200000E4
1.069205278E3	1.106000000E4
1.070205278E3	5.117600000E4
1.071205278E3	1.069900000E4
1.072205278E3	1.192200000E4
1.073205278E3	1.265100000E4
1.074205278E3	1.283100000E4
1.075205278E3	1.433300000E4
1.076205278E3	1.461300000E4
1.077205278E3	1.154200000E4
1.078205278E3	1.334000000E4
1.079205278E3	1.456900000E4
1.080205278E3	7.861000000E3
1.081205278E3	7.000000000E3
1.082205278E3	8.471000000E3
1.083205278E3	9.426000000E3
1.084205278E3	8.276000000E3
1.085205278E3	9.055000000E3
1.086205278E3	9.533000000E3
1.087205278E3	1.044500000E4
1.088205278E3	1.075300000E4
1.089205278E3	1.058600000E4
1.090205278E3	1.067700000E4
1.091205278E3	1.072800000E4
1.092205278E3	1.009000000E4
1.093205278E3	1.018400000E4
1.094205278E3	1.130600000E4
1.095205278E3	1.415400000E4
1.096205278E3	1.162000000E4
1.097205278E3	1.196000000E4
1.098205278E3	1.548000000E4
1.099205278E3	1.420400000E4
1.100205278E3	1.310400000E4
1.101205278E3	1.298800000E4
1.102205278E3	1.021500000E4
1.103205278E3	1.257600000E4
1.104205278E3	9.191000000E3
1.105205278E3	9.263000000E3
1.106205278E3	9.115000000E3
1.107205278E3	9.084000000E3
1.108205278E3	9.225000000E3
1.109205278E3	9.294000000E3
1.110205278E3	9.448000000E3
1.111205278E3	9.558000000E3
1.112205278E3	1.039800000E4
1.113205278E3	9.420000000E3
1.114205278E3	8.986000000E3
1.115205278E3	8.757000000E3
1.116205278E3	8.622000000E3
1.117205278E3	8.779000000E3
1.118205278E3	8.769000000E3
1.119205278E3	1.180900000E4
1.120205278E3	8.553000000E3
1.121205278E3	8.801000000E3
1.122205278E3	8.279000000E3
1.123205278E3	8.930000000E3
1.124205278E3	9.486000000E3
1.125205278E3	9.976000000E3
1.126205278E3	9.392000000E3
1.127205278E3	9.404000000E3
1.128205278E3	9.587000000E3
1.129205278E3	9.307000000E3
1.130205278E3	9.373000000E3
1.131205278E3	9.486000000E3
1.132205278E3	8.798000000E3
1.133205278E3	5.531600000E4
1.134205278E3	6.812500000E4
1.135205278E3	2.092800000E4
1.136205278E3	1.241600000E4
1.137205278E3	1.130000000E4
1.138205278E3	9.863000000E3
1.139205278E3	1.052700000E4
1.140205278E3	1.157600000E4
1.141205278E3	1.159200000E4
1.142205278E3	1.660300000E4
1.143205278E3	1.606200000E4
1.144205278E3	1.539600000E4
1.145205278E3	1.415400000E4
1.146205278E3	1.572900000E4
1.147205278E3	1.527600000E4
1.148205278E3	1.579500000E4
1.149205278E3	1.255100000E4
1.150205278E3	1.380500000E4
1.151205278E3	8.493000000E3
1.152205278E3	6.424000000E3
1.153205278E3	7.729000000E3
1.154205278E3	7.433000000E3
1.155205278E3	7.531000000E3
1.156205278E3	8.147000000E3
1.157205278E3	7.952000000E3
1.158205278E3	8.125000000E3
1.159205278E3	8.546000000E3
1.160205278E3	8.606000000E3
1.161205278E3	8.923000000E3
1.162205278E3	1.055500000E4
1.163205278E3	1.218600000E4
1.164205278E3	1.118000000E4
1.165205278E3	1.123100000E4
1.166205278E3	1.275200000E4
1.167205278E3	1.097600000E4
1.168205278E3	9.238000000E3
1.169205278E3	9.477000000E3
1.170205278E3	9.489000000E3
1.171205278E3	1.427300000E4
1.172205278E3	1.043900000E4
1.173205278E3	6.318000000E3
1.174205278E3	7.902000000E3
1.175205278E3	7.125000000E3
1.176205278E3	6.092000000E3
1.177205278E3	5.589000000E3
1.178205278E3	5.109000000E3
1.179205278E3	5.111000000E3
1.180205278E3	5.086000000E3
1.181205278E3	9.067000000E3
1.182205278E3	1.063700000E4
1.183205278E3	7.134000000E3
1.184205278E3	5.016000000E3
1.185205278E3	4.871000000E3
1.186205278E3	4.620000000E3
1.187205278E3	4.587000000E3
1.188205278E3	4.364000000E3
1.189205278E3	4.223000000E3
1.190205278E3	5.937000000E3
1.191205278E3	3.985000000E3
1.192205278E3	3.363000000E3
1.193205278E3	4.592000000E3
1.194205278E3	3.894000000E3
1.195205278E3	3.253000000E3
1.196205278E3	1.489000000E3
1.197205278E3	9.650000000E2
1.198205278E3	3.800000000E2
1.199205278E3	2.010000000E2
1.200205278E3	6.900000000E1
1.201205278E3	5.300000000E1
1.202205278E3	4.700000000E1
1.203205278E3	1.380000000E2
1.204205278E3	1.320000000E2
1.205205278E3	3.400000000E1
1.206205278E3	2.200000000E1
1.207205278E3	2.200000000E1
1.208205278E3	3.100000000E1
1.209205278E3	4.000000000E1
1.210205278E3	4.210000000E2
1.211205278E3	6.190000000E2
1.212205278E3	1.220000000E2
1.213205278E3	7.980000000E2
1.214205278E3	2.800000000E1
1.215205278E3	4.000000000E1
1.216205278E3	6.750000000E2
1.217205278E3	5.180000000E2
1.218205278E3	5.300000000E1
1.219205278E3	2.500000000E1
1.220205278E3	2.200000000E1
1.221205278E3	8.400000000E1
1.222205278E3	4.700000000E1
1.223205278E3	1.200000000E1
1.224205278E3	1.200000000E1
1.225205278E3	9.000000000E0
1.226205278E3	9.000000000E0
1.227205278E3	5.000000000E1
1.228205278E3	5.300000000E1
1.229205278E3	2.800000000E1
1.230205278E3	3.400000000E1
1.231205278E3	6.900000000E1
1.232205278E3	9.000000000E0
1.233205278E3	1.200000000E1
1.234205278E3	5.300000000E1
1.235205278E3	3.400000000E1
1.236205278E3	2.980000000E2
1.237205278E3	9.700000000E1
1.238205278E3	4.000000000E1
1.239205278E3	1.980000000E2
1.240205278E3	1.160000000E2
1.241205278E3	8.400000000E1
1.242205278E3	1.060000000E2
1.243205278E3	2.500000000E1
1.244205278E3	5.900000000E1
1.245205278E3	2.200000000E1
1.246205278E3	2.800000000E1
1.247205278E3	6.200000000E1
1.248205278E3	2.730000000E2
1.249205278E3	9.400000000E1
1.250205278E3	6.600000000E1
1.251205278E3	9.700000000E1
1.252205278E3	3.770000000E2
1.253205278E3	8.580000000E2
1.254205278E3	2.253000000E3
1.255205278E3	3.542000000E3
1.256205278E3	3.680000000E3
1.257205278E3	3.724000000E3
1.258205278E3	3.636000000E3
1.259205278E3	3.907000000E3
1.260205278E3	4.083000000E3
1.261205278E3	2.231000000E3
1.262205278E3	2.666000000E3
1.263205278E3	2.536000000E3
1.264205278E3	1.958000000E3
1.265205278E3	3.084000000E3
1.266205278E3	2.732000000E3
1.267205278E3	2.652000000E3
1.268205278E3	3.752000000E3
1.269205278E3	3.324000000E3
1.270205278E3	3.382000000E3
1.271205278E3	3.659000000E3
1.272205278E3	3.029000000E3
1.273205278E3	3.721000000E3
1.274205278E3	4.411000000E3
1.275205278E3	3.214000000E3
1.276205278E3	3.683000000E3
1.277205278E3	3.778000000E3
1.278205278E3	3.452000000E3
1.279205278E3	3.761000000E3
1.280205278E3	7.889000000E3
1.281205278E3	1.106100000E4
1.282205278E3	9.505000000E3
1.283205278E3	8.304000000E3
1.284205278E3	8.461000000E3
1.285205278E3	3.397900000E4
1.286205278E3	1.018100000E4
1.287205278E3	1.461900000E4
1.288205278E3	6.596000000E3
1.289205278E3	8.534000000E3
1.290205278E3	4.344000000E3
1.291205278E3	4.278000000E3
1.292205278E3	5.096000000E3
1.293205278E3	1.551500000E4
1.294205278E3	1.111100000E4
1.295205278E3	1.213600000E4
1.296205278E3	1.247200000E4
1.297205278E3	1.169000000E4
1.298205278E3	9.345000000E3
1.299205278E3	7.187000000E3
1.300205278E3	7.196000000E3
1.301205278E3	8.399000000E3
1.302205278E3	8.617000000E3
1.303205278E3	8.619000000E3
1.304205278E3	1.264200000E4
1.305205278E3	6.616000000E3
1.306205278E3	5.836000000E3
1.307205278E3	5.653000000E3
1.308205278E3	7.105000000E3
1.309205278E3	7.381000000E3
1.310205278E3	7.200000000E3
1.311205278E3	7.387000000E3
1.312205278E3	7.616000000E3
1.313205278E3	8.648000000E3
1.314205278E3	6.242000000E3
1.315205278E3	6.116000000E3
1.316205278E3	7.279000000E3
1.317205278E3	7.978000000E3
1.318205278E3	7.431000000E3
1.319205278E3	6.638000000E3
1.320205278E3	5.321000000E3
1.321205278E3	4.759000000E3
1.322205278E3	5.574000000E3
1.323205278E3	4.373000000E3
