"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Velocity (m/s)"	"Direction (°)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"
8.251455520E1	5.235493826E1	4.901107188E0	2.113326591E1	1.515541553E0	1.512993317E2	1.436657333E1	0.000000000E0
8.351564374E1	5.235489899E1	4.901114258E0	2.120709679E1	2.137800694E0	1.542074127E2	1.473998165E1	0.000000000E0
8.454256509E1	5.235485330E1	4.901140035E0	2.179511986E1	2.686204910E0	1.542622070E2	1.451846218E1	0.000000000E0
8.554332967E1	5.235481951E1	4.901161845E0	2.208638890E1	2.444865942E0	1.451368561E2	1.462184620E1	0.000000000E0
8.655107342E1	5.235478890E1	4.901186100E0	2.243780868E1	2.745081663E0	1.392422028E2	1.436031342E1	0.000000000E0
8.751799530E1	5.235475761E1	4.901219250E0	2.283342319E1	3.429815769E0	1.409777069E2	1.254689312E1	0.000000000E0
8.854308332E1	5.235472679E1	4.901255085E0	2.281060157E1	4.020333290E0	1.479170990E2	1.265141773E1	0.000000000E0
8.954200051E1	5.235468981E1	4.901291300E0	2.291475265E1	4.633023262E0	1.523769226E2	1.125423813E1	0.000000000E0
9.051203488E1	5.235465038E1	4.901329093E0	2.280852712E1	4.554459572E0	1.507798920E2	1.392153931E1	0.000000000E0
9.151121926E1	5.235460603E1	4.901355468E0	2.265803624E1	4.607626915E0	1.637683868E2	1.403618336E1	0.000000000E0
9.251167915E1	5.235456093E1	4.901377760E0	2.252204287E1	4.687983990E0	1.610554657E2	1.484507751E1	0.000000000E0
9.352613801E1	5.235451786E1	4.901411276E0	2.256697410E1	4.722893715E0	1.549163055E2	1.471305466E1	0.000000000E0
9.451338436E1	5.235447923E1	4.901449454E0	2.228201372E1	4.594462395E0	1.485791168E2	1.649437714E1	0.000000000E0
9.551159894E1	5.235443732E1	4.901489258E0	2.184097398E1	4.669288635E0	1.464417267E2	1.605628395E1	0.000000000E0
9.651629321E1	5.235439096E1	4.901525376E0	2.144911306E1	4.647596836E0	1.528926392E2	1.566326618E1	0.000000000E0
9.751085624E1	5.235435496E1	4.901564473E0	2.090824637E1	4.098214626E0	1.422231293E2	1.567256451E1	0.000000000E0
9.851141926E1	5.235432254E1	4.901606084E0	2.085797644E1	3.866010427E0	1.449282990E2	1.572048187E1	0.000000000E0
9.951310884E1	5.235428997E1	4.901649278E0	2.058822701E1	3.566701889E0	1.410149689E2	1.629436493E1	0.000000000E0
1.005110198E2	5.235425737E1	4.901694239E0	2.090888555E1	3.817565203E0	1.432153320E2	1.483803177E1	0.000000000E0
1.015107969E2	5.235421849E1	4.901731664E0	2.031513621E1	4.024655819E0	1.516548309E2	1.470031357E1	0.000000000E0
1.025174734E2	5.235417934E1	4.901766314E0	2.004471284E1	4.371815205E0	1.508204956E2	1.471619987E1	0.000000000E0
1.035196401E2	5.235414291E1	4.901801579E0	1.980589867E1	4.120477200E0	1.489837036E2	1.581527615E1	0.000000000E0
1.045250281E2	5.235410668E1	4.901833445E0	1.980759257E1	4.222429752E0	1.507703247E2	1.552432919E1	0.000000000E0
1.055119651E2	5.235406756E1	4.901864936E0	1.976416270E1	4.546536446E0	1.519340057E2	1.590022469E1	0.000000000E0
1.065160484E2	5.235402236E1	4.901897656E0	1.996148281E1	4.830778122E0	1.544975128E2	1.540954113E1	0.000000000E0
1.075189510E2	5.235398383E1	4.901936844E0	2.004773491E1	4.348388672E0	1.485859222E2	1.497659874E1	0.000000000E0
1.085613630E2	5.235394792E1	4.901971743E0	2.010332376E1	3.871267080E0	1.497179108E2	1.495161724E1	0.000000000E0
1.095158797E2	5.235390924E1	4.902005904E0	2.012796645E1	4.128859997E0	1.453124084E2	1.455097866E1	0.000000000E0
1.105569427E2	5.235386518E1	4.902037761E0	1.964410763E1	4.656201363E0	1.515553284E2	1.472638416E1	0.000000000E0
1.115422791E2	5.235381957E1	4.902067054E0	1.927814040E1	4.733772755E0	1.548623962E2	1.463474846E1	0.000000000E0
1.125098765E2	5.235377175E1	4.902101480E0	1.882706003E1	5.047012329E0	1.554452209E2	1.521852684E1	0.000000000E0
1.135281995E2	5.235372712E1	4.902137287E0	1.876976652E1	5.081837654E0	1.572030792E2	1.527534199E1	0.000000000E0
1.145449203E2	5.235368092E1	4.902175741E0	1.876860641E1	5.446677208E0	1.534081573E2	1.558974934E1	0.000000000E0
1.155436474E2	5.235363706E1	4.902237905E0	1.880988150E1	6.123281956E0	1.390543823E2	1.686214256E1	0.000000000E0
1.165605010E2	5.235359643E1	4.902300127E0	1.896124888E1	5.573023796E0	1.377357941E2	1.618156242E1	0.000000000E0
1.175429578E2	5.235355821E1	4.902354430E0	1.909944467E1	5.086370468E0	1.413743744E2	1.721154404E1	0.000000000E0
1.185434974E2	5.235351456E1	4.902391425E0	1.900097334E1	4.638417244E0	1.494369049E2	1.620769691E1	0.000000000E0
1.195146416E2	5.235347528E1	4.902413557E0	1.877701238E1	3.755731821E0	1.558921814E2	1.670490456E1	0.000000000E0
1.205135088E2	5.235343728E1	4.902438536E0	1.859871675E1	4.186913013E0	1.540404663E2	1.507708168E1	0.000000000E0
1.215132541E2	5.235339778E1	4.902468251E0	1.844243754E1	4.473940372E0	1.542833862E2	1.492804909E1	0.000000000E0
1.225138265E2	5.235335683E1	4.902494143E0	1.813930780E1	4.889532089E0	1.602712250E2	1.637620926E1	0.000000000E0
1.235167463E2	5.235330937E1	4.902517124E0	1.813312246E1	5.047811508E0	1.611574860E2	1.653731918E1	0.000000000E0
