"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Velocity (m/s)"	"Direction (°)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"
2.135510734E2	5.234914742E1	4.904040590E0	1.070412025E1	3.299381495E0	1.645003204E2	1.184414959E1	0.000000000E0
2.145503739E2	5.234911989E1	4.904052394E0	1.058345427E1	3.029924631E0	1.663267212E2	1.202476120E1	0.000000000E0
2.155448593E2	5.234909181E1	4.904063522E0	1.066901996E1	3.212715626E0	1.671134033E2	1.256322289E1	0.000000000E0
2.165465536E2	5.234906445E1	4.904072783E0	1.065586521E1	3.554259300E0	1.668699646E2	1.109264565E1	0.000000000E0
2.175128125E2	5.234903336E1	4.904080591E0	1.105268570E1	3.351518869E0	1.673762360E2	1.144194889E1	0.000000000E0
2.185469916E2	5.234900222E1	4.904086135E0	1.165843593E1	3.326986551E0	1.700968628E2	1.113124466E1	0.000000000E0
2.195301328E2	5.234897712E1	4.904085614E0	1.188232268E1	3.276777744E0	1.703208008E2	1.144503117E1	0.000000000E0
2.205159047E2	5.234894696E1	4.904085560E0	1.199193172E1	3.359870672E0	1.699522400E2	1.043033600E1	0.000000000E0
2.215175875E2	5.234891734E1	4.904091043E0	1.189424578E1	3.346611977E0	1.682761383E2	9.784411430E0	0.000000000E0
2.225079781E2	5.234888574E1	4.904101924E0	1.212589259E1	3.669413090E0	1.655406342E2	1.060188103E1	0.000000000E0
2.235228229E2	5.234885215E1	4.904114287E0	1.203562829E1	3.851432562E0	1.684758606E2	1.073772526E1	0.000000000E0
2.245457234E2	5.234881503E1	4.904126212E0	1.209975569E1	4.168453693E0	1.685205841E2	1.075000763E1	0.000000000E0
2.255464057E2	5.234877499E1	4.904140345E0	1.223534970E1	4.379195690E0	1.670304565E2	1.177877903E1	0.000000000E0
2.265554020E2	5.234872881E1	4.904156160E0	1.230721391E1	5.159519672E0	1.664018707E2	1.156897926E1	0.000000000E0
2.275502239E2	5.234868363E1	4.904175461E0	1.260077581E1	5.088013172E0	1.670470734E2	1.122978210E1	0.000000000E0
