"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
1.084300290E3	-8.427590132E-1	2.260126352E0	1.241154194E1
1.085300290E3	3.830722570E-1	2.873042107E0	8.274360657E0
1.086300290E3	-9.959878922E-1	3.945644379E0	7.000645638E0
1.087300290E3	3.830722570E-1	3.179499865E0	9.538499832E0
1.088300290E3	6.895300746E-1	2.260126352E0	1.097502041E1
1.089300290E3	7.661445439E-2	4.098873138E0	1.034295177E1
1.090300290E3	-1.302445769E0	2.873042107E0	8.743624687E0
1.091300290E3	-3.830722570E-1	3.179499865E0	9.538499832E0
1.092300290E3	-1.915361404E0	2.413355350E0	1.065898609E1
1.093300290E3	-1.762132406E0	1.340752959E0	1.400129128E1
1.094300290E3	2.298433632E-1	2.873042107E0	4.932055473E0
1.095300290E3	1.149216771E0	4.558559895E0	6.358999729E0
1.096300290E3	-2.068590164E0	4.098873138E0	9.069235802E0
1.097300290E3	-9.959878922E-1	4.098873138E0	8.743624687E0
1.098300290E3	3.830722570E-1	5.784391403E0	7.316680431E0
1.099300290E3	2.298433632E-1	6.703764915E0	7.469909191E0
1.100300290E3	-7.661445439E-2	6.703764915E0	7.948749542E0
1.101300290E3	9.959878922E-1	4.558559895E0	9.385271072E0
1.102300290E3	-3.830722570E-1	3.485957623E0	8.906430244E0
1.103300290E3	6.895300746E-1	5.477933407E0	9.538499832E0
1.104300290E3	7.661445439E-2	3.332728863E0	8.906430244E0
1.105300290E3	1.608903527E0	3.332728863E0	6.675034523E0
1.106300290E3	2.298433632E-1	3.639186621E0	7.000645638E0
1.107300290E3	-1.149216771E0	3.026270866E0	9.069235802E0
1.108300290E3	-2.221819162E0	3.332728863E0	1.081221485E1
1.109300290E3	-2.221819162E0	2.566584110E0	1.224873543E1
1.110300290E3	-1.302445769E0	2.413355350E0	9.864110947E0
1.111300290E3	-2.298433632E-1	2.873042107E0	8.743624687E0
1.112300290E3	2.298433632E-1	2.566584110E0	9.864110947E0
1.113300290E3	7.661445439E-2	1.800439715E0	1.097502041E1
1.114300290E3	1.608903527E0	2.873042107E0	9.701305389E0
1.115300290E3	3.830722570E-1	2.260126352E0	9.069235802E0
1.116300290E3	2.298433632E-1	2.719813108E0	9.069235802E0
1.117300290E3	-8.427590132E-1	1.800439715E0	9.222464561E0
1.118300290E3	-1.149216771E0	2.719813108E0	8.274360657E0
1.119300290E3	2.298433632E-1	4.711789131E0	8.111555099E0
1.120300290E3	-8.427590132E-1	1.800439715E0	1.081221485E1
1.121300290E3	9.959878922E-1	4.098873138E0	6.205770969E0
1.122300290E3	8.427590132E-1	1.493981838E0	8.743624687E0
1.123300290E3	7.661445439E-2	2.106897593E0	7.469909191E0
1.124300290E3	2.298433632E-1	3.026270866E0	9.538499832E0
1.125300290E3	-8.427590132E-1	1.187524080E0	1.479616642E1
1.126300290E3	-3.830722570E-1	2.566584110E0	6.521805286E0
1.127300290E3	-2.298433632E-1	2.873042107E0	8.427590370E0
1.128300290E3	-3.754108191E0	3.179499865E0	8.274360657E0
1.129300290E3	-9.959878922E-1	1.340752959E0	1.224873543E1
1.130300290E3	-2.834734917E0	2.566584110E0	1.001733971E1
1.131300290E3	-2.681505919E0	1.187524080E0	1.049618053E1
1.132300290E3	-2.528276920E0	1.493981838E0	8.906430244E0
