"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
2.833152745E2	2.756250000E1	-2.281250000E1	-5.537500000E1
2.843152745E2	2.125000000E1	-2.918750000E1	-4.643750000E1
2.853152745E2	1.918750000E1	-2.443750000E1	-4.506250000E1
2.863152745E2	2.050000000E1	-2.262500000E1	-4.568750000E1
2.873152745E2	2.012500000E1	-1.750000000E1	-4.668750000E1
2.883152745E2	1.787500000E1	-1.931250000E1	-4.737500000E1
2.893152745E2	9.500000000E0	-2.243750000E1	-4.906250000E1
2.903152745E2	-3.750000000E0	-3.306250000E1	-5.481250000E1
2.913152745E2	5.062500000E0	-3.075000000E1	-4.487500000E1
2.923152745E2	8.875000000E0	-3.200000000E1	-4.075000000E1
2.933152745E2	1.287500000E1	-2.750000000E1	-3.631250000E1
2.943152745E2	8.500000000E0	-3.881250000E1	-3.406250000E1
2.953152745E2	5.312500000E0	-3.493750000E1	-3.843750000E1
2.963152745E2	3.500000000E0	-3.181250000E1	-3.856250000E1
2.973152745E2	2.250000000E0	-3.700000000E1	-3.262500000E1
2.983152745E2	4.062500000E0	-3.656250000E1	-3.075000000E1
2.993152745E2	4.500000000E0	-3.156250000E1	-3.312500000E1
3.003152745E2	4.125000000E0	-3.950000000E1	-3.231250000E1
3.013152745E2	5.375000000E0	-4.043750000E1	-3.268750000E1
3.023152745E2	8.750000000E0	-3.900000000E1	-3.418750000E1
3.033152745E2	6.875000000E0	-4.156250000E1	-3.081250000E1
3.043152745E2	5.687500000E0	-4.275000000E1	-2.718750000E1
3.053152745E2	5.750000000E0	-4.350000000E1	-2.668750000E1
3.063152745E2	8.000000000E0	-4.243750000E1	-2.925000000E1
3.073152745E2	1.012500000E1	-4.600000000E1	-2.406250000E1
3.083152745E2	1.287500000E1	-3.725000000E1	-3.487500000E1
3.093152745E2	6.687500000E0	-3.806250000E1	-3.456250000E1
3.103152745E2	9.875000000E0	-3.775000000E1	-3.318750000E1
3.113152745E2	1.000000000E1	-3.875000000E1	-3.343750000E1
3.123152745E2	1.406250000E1	-3.837500000E1	-3.156250000E1
3.133152745E2	1.668750000E1	-3.337500000E1	-3.062500000E1
3.143152745E2	1.700000000E1	-3.868750000E1	-2.893750000E1
3.153152745E2	1.425000000E1	-3.931250000E1	-2.950000000E1
3.163152745E2	1.475000000E1	-4.137500000E1	-2.812500000E1
3.173152745E2	1.443750000E1	-3.856250000E1	-3.081250000E1
3.183152745E2	1.356250000E1	-3.868750000E1	-3.206250000E1
3.193152745E2	1.437500000E1	-3.625000000E1	-3.475000000E1
3.203152745E2	1.262500000E1	-3.825000000E1	-3.331250000E1
3.213152745E2	1.475000000E1	-3.318750000E1	-3.781250000E1
3.223152745E2	1.468750000E1	-3.287500000E1	-3.831250000E1
3.233152745E2	1.206250000E1	-3.725000000E1	-3.456250000E1
