"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"
1.153102682E2	1.903999895E-1	-4.206999838E-1	2.355999947E-1
1.163102682E2	-7.699999958E-3	-1.197199941E0	-5.275999904E-1
1.173102682E2	-4.038999975E-1	4.987999797E-1	2.041999996E-1
1.183102682E2	-7.667999864E-1	3.655999899E-1	-1.055799961E0
1.193102682E2	-1.671999931E0	-1.762000024E-1	1.555299997E0
1.203102682E2	8.366000056E-1	4.259999990E-1	1.392000020E-1
1.213102682E2	1.089200020E0	-9.162999988E-1	-3.319999874E-1
1.223102682E2	2.629999816E-1	8.299999870E-3	4.159999788E-1
1.233102682E2	-7.742999792E-1	7.324000001E-1	-1.636999995E-1
1.243102682E2	-2.009899855E0	5.392000079E-1	7.403999567E-1
1.253102682E2	9.044999480E-1	7.150999904E-1	-2.483899832E0
1.263102682E2	1.062600017E0	-5.044999719E-1	-4.989999905E-2
1.273102682E2	2.208999991E-1	-4.136999846E-1	7.252999544E-1
1.283102682E2	-3.937000036E-1	7.599999756E-2	1.032899976E0
1.293102682E2	-1.330199957E0	-7.544999719E-1	1.648299932E0
1.303102682E2	5.419999957E-1	5.547999740E-1	-1.636899948E0
1.313102682E2	6.037999988E-1	2.356999964E-1	-2.094099998E0
1.323102682E2	5.128999949E-1	-4.332000017E-1	1.238799930E0
1.333102682E2	1.036999971E-1	-3.732999861E-1	-1.934999973E-1
1.343102682E2	-8.493999839E-1	-5.220000148E-1	-1.447999924E-1
1.353102682E2	-1.510999948E-1	-5.257999897E-1	1.364300013E0
1.363102682E2	-2.518000007E-1	6.768999696E-1	1.610899925E0
1.373102682E2	-1.630999893E-1	4.140999913E-1	-1.604900002E0
1.383102682E2	4.865999818E-1	-1.989999972E-2	7.044999599E-1
1.393102682E2	-9.362999797E-1	-3.881999850E-1	1.735399961E0
1.403102682E2	-4.812999964E-1	3.016999960E-1	3.823999763E-1
1.413102682E2	3.164999783E-1	1.579999924E-1	7.269999981E-1
1.423102682E2	7.798999548E-1	-4.213999808E-1	-3.100999892E-1
1.433102682E2	-2.500000000E-1	1.995999962E-1	5.623999834E-1
1.443102682E2	2.988999784E-1	-7.956999540E-1	-1.523899913E0
1.453102682E2	1.136999950E-1	1.186499953E0	6.460999846E-1
1.463102682E2	1.524699926E0	-1.222599983E0	1.308200002E0
1.473102682E2	-3.844999969E-1	-1.378999949E-1	2.926000059E-1
