Date,Oxygen saturation(%),Time REM(hr),Time asleep(hr),Time awake(hr),Time core(hr),Time deep(hr),Time in bed(hr)
2022-11-25 00:13:20 - 2022-11-25 00:13:48,,,,,,,0.008
2022-11-25 00:17:41 - 2022-11-25 00:24:02,,,,,,,0.106
2022-11-25 00:24:19 - 2022-11-25 00:45:45,,,,,,,0.357
2022-11-25 00:46:55 - 2022-11-25 07:30:00,,,,,,,6.718
2022-11-25 02:11:19,0.970,,,,,,
2022-11-25 03:44:03,0.960,,,,,,
2022-11-25 04:03:15 - 2022-11-25 06:28:45,,,2.425,,,,
2022-11-25 04:35:24,0.950,,,,,,
2022-11-25 05:05:25,0.970,,,,,,
2022-11-25 06:31:15 - 2022-11-25 09:31:45,,,3.008,,,,
2022-11-25 06:43:38,0.940,,,,,,
2022-11-25 07:13:39,0.970,,,,,,
2022-11-25 07:43:40,0.970,,,,,,
2022-11-25 08:43:40,0.950,,,,,,
2022-11-25 09:15:56,0.970,,,,,,
2022-11-25 17:01:28,1.000,,,,,,
2022-11-25 18:04:19,0.990,,,,,,
2022-11-25 19:08:13,1.000,,,,,,
2022-11-25 22:55:20,0.980,,,,,,
2022-11-25 23:06:36 - 2022-11-25 23:12:00,,,,,,,0.090
2022-11-25 23:38:45 - 2022-11-25 23:39:06,,,,,,,0.006
2022-11-25 23:39:49 - 2022-11-25 23:40:14,,,,,,,0.007
2022-11-25 23:43:40 - 2022-11-25 23:44:45,,,,,,,0.018
2022-11-26 00:01:09 - 2022-11-26 00:01:47,,,,,,,0.011
2022-11-26 00:09:24 - 2022-11-26 00:14:08,,,,,,,0.079
2022-11-26 00:47:42 - 2022-11-26 00:48:48,,,,,,,0.018
2022-11-26 00:49:55 - 2022-11-26 00:50:33,,,,,,,0.011
2022-11-26 00:51:21 - 2022-11-26 00:53:15,,,,,,,0.032
2022-11-26 00:53:56 - 2022-11-26 00:57:56,,,,,,,0.067
2022-11-26 00:58:04 - 2022-11-26 07:30:00,,,,,,,6.532
2022-11-26 01:10:46 - 2022-11-26 04:50:46,,,3.667,,,,
2022-11-26 01:11:23,0.970,,,,,,
2022-11-26 01:44:21,0.970,,,,,,
2022-11-26 03:13:09,0.970,,,,,,
2022-11-26 03:43:10,0.990,,,,,,
2022-11-26 04:13:11,0.970,,,,,,
2022-11-26 04:43:12,0.960,,,,,,
2022-11-26 04:52:16 - 2022-11-26 04:56:16,,,0.067,,,,
2022-11-26 04:57:46 - 2022-11-26 07:00:46,,,2.050,,,,
2022-11-26 05:13:12,0.970,,,,,,
2022-11-26 06:33:03,0.930,,,,,,
2022-11-26 07:02:16 - 2022-11-26 10:03:46,,,3.025,,,,
2022-11-26 07:05:19,0.970,,,,,,
2022-11-26 07:35:20,0.960,,,,,,
2022-11-26 08:05:21,0.960,,,,,,
2022-11-26 08:35:21,0.980,,,,,,
2022-11-26 09:05:22,0.970,,,,,,
2022-11-26 09:39:08,0.950,,,,,,
2022-11-26 12:30:31,0.970,,,,,,
2022-11-26 16:51:09,0.990,,,,,,
2022-11-26 18:26:30,0.950,,,,,,
2022-11-26 20:26:31,0.990,,,,,,
2022-11-26 21:07:39,0.970,,,,,,
2022-11-26 22:40:39 - 2022-11-26 23:15:24,,,,,,,0.579
2022-11-26 22:57:41,0.970,,,,,,
2022-11-26 23:57:42,0.970,,,,,,
2022-11-27 00:11:49 - 2022-11-27 00:12:49,,,0.017,,,,
2022-11-27 00:15:49 - 2022-11-27 06:11:19,,,5.925,,,,
2022-11-27 00:22:01 - 2022-11-27 07:31:01,,,,,,,7.150
2022-11-27 00:39:01,0.890,,,,,,
2022-11-27 01:09:01,0.910,,,,,,
2022-11-27 01:39:32,0.920,,,,,,
2022-11-27 02:09:35,0.930,,,,,,
2022-11-27 04:00:09,0.890,,,,,,
2022-11-27 05:30:11,0.950,,,,,,
2022-11-27 06:16:39,0.960,,,,,,
2022-11-27 06:17:19 - 2022-11-27 06:21:19,,,0.067,,,,
2022-11-27 06:22:19 - 2022-11-27 06:23:19,,,0.017,,,,
2022-11-27 06:24:49 - 2022-11-27 06:55:49,,,0.517,,,,
2022-11-27 06:48:48,0.910,,,,,,
2022-11-27 06:57:19 - 2022-11-27 07:26:19,,,0.483,,,,
2022-11-27 07:18:48,0.990,,,,,,
2022-11-27 07:31:05 - 2022-11-27 07:31:09,,,,,,,0.001
2022-11-27 07:59:04,0.990,,,,,,
2022-11-27 08:29:05,0.960,,,,,,
2022-11-27 10:24:57,0.980,,,,,,
2022-11-27 10:55:33,0.970,,,,,,
2022-11-27 11:25:34,0.970,,,,,,
2022-11-27 11:55:35,0.980,,,,,,
2022-11-27 17:09:25,1.000,,,,,,
2022-11-27 18:45:07,0.990,,,,,,
2022-11-27 19:58:06,1.000,,,,,,
2022-11-27 23:07:38 - 2022-11-27 23:17:17,,,,,,,0.161
2022-11-27 23:31:12,0.990,,,,,,
2022-11-27 23:33:09 - 2022-11-28 00:01:46,,,,,,,0.477
2022-11-28 00:04:18 - 2022-11-28 00:32:06,,,,,,,0.463
2022-11-28 00:30:56,0.970,,,,,,
2022-11-28 00:38:21 - 2022-11-28 00:43:44,,,,,,,0.090
2022-11-28 00:45:24 - 2022-11-28 00:45:29,,,,,,,0.001
2022-11-28 00:49:09 - 2022-11-28 00:49:31,,,,,,,0.006
2022-11-28 01:00:57,1.000,,,,,,
2022-11-28 01:03:21 - 2022-11-28 01:08:28,,,,,,,0.085
2022-11-28 01:19:14 - 2022-11-28 01:20:30,,,,,,,0.021
2022-11-28 01:28:49 - 2022-11-28 07:30:02,,,,,,,6.020
2022-11-28 01:46:39 - 2022-11-28 01:49:39,,,0.050,,,,
2022-11-28 01:50:39 - 2022-11-28 07:31:39,,,5.683,,,,
2022-11-28 02:00:57,1.000,,,,,,
2022-11-28 02:30:58,1.000,,,,,,
2022-11-28 03:05:42,0.930,,,,,,
2022-11-28 03:35:42,0.950,,,,,,
2022-11-28 04:05:43,0.930,,,,,,
2022-11-28 04:36:27,0.990,,,,,,
2022-11-28 05:06:27,0.970,,,,,,
2022-11-28 05:36:28,0.950,,,,,,
2022-11-28 06:27:21,0.910,,,,,,
2022-11-28 06:57:22,0.970,,,,,,
2022-11-28 07:28:28,0.960,,,,,,
2022-11-28 09:24:54,0.920,,,,,,
2022-11-28 17:04:43,0.990,,,,,,
2022-11-28 21:22:24,0.970,,,,,,
2022-11-28 22:03:00 - 2022-11-29 07:30:00,,,,,,,9.450
2022-11-28 23:51:59 - 2022-11-29 06:21:59,,,6.500,,,,
2022-11-29 06:29:29 - 2022-11-29 09:34:59,,,3.092,,,,
2022-11-30 00:19:19 - 2022-11-30 00:21:52,,,,,,,0.042
2022-11-30 00:40:07 - 2022-11-30 00:48:11,,,,,,,0.134
2022-11-30 00:42:36,1.000,,,,,,
2022-11-30 00:48:29 - 2022-11-30 01:00:06,,,,,,,0.194
2022-11-30 01:11:43 - 2022-11-30 01:15:12,,,,,,,0.058
2022-11-30 02:03:57 - 2022-11-30 07:00:00,,,,,,,4.934
2022-11-30 02:09:35 - 2022-11-30 07:59:05,,,5.825,,,,
2022-11-30 03:41:26,0.940,,,,,,
2022-11-30 04:11:27,0.970,,,,,,
2022-11-30 04:41:28,0.980,,,,,,
2022-11-30 05:41:29,0.960,,,,,,
2022-11-30 06:17:20,0.960,,,,,,
2022-11-30 06:48:50,0.910,,,,,,
2022-11-30 07:48:51,0.930,,,,,,
2022-11-30 10:29:14,1.000,,,,,,
2022-11-30 11:29:15,0.940,,,,,,
2022-11-30 13:57:25,0.980,,,,,,
2022-11-30 14:56:43,1.000,,,,,,
2022-11-30 15:57:02,1.000,,,,,,
2022-12-01 00:22:58 - 2022-12-01 00:30:41,,,,,,,0.129
2022-12-01 00:32:10 - 2022-12-01 00:36:56,,,,,,,0.079
2022-12-01 01:18:53 - 2022-12-01 01:20:10,,,,,,,0.021
2022-12-01 01:21:15 - 2022-12-01 02:05:04,,,,,,,0.730
2022-12-01 02:06:04 - 2022-12-01 02:31:57,,,,,,,0.431
2022-12-01 02:38:29,0.980,,,,,,
2022-12-01 03:04:34 - 2022-12-01 07:00:01,,,,,,,3.924
2022-12-01 03:08:30,0.970,,,,,,
2022-12-01 03:09:07 - 2022-12-01 05:04:37,,,1.925,,,,
2022-12-01 03:38:31,0.980,,,,,,
2022-12-01 04:38:32,0.930,,,,,,
2022-12-01 05:11:07 - 2022-12-01 05:20:37,,,0.158,,,,
2022-12-01 05:12:55,0.980,,,,,,
2022-12-01 05:21:37 - 2022-12-01 10:47:37,,,5.433,,,,
2022-12-01 06:35:46,0.910,,,,,,
2022-12-01 07:05:47,0.960,,,,,,
2022-12-01 07:35:48,0.950,,,,,,
2022-12-01 08:16:03,0.970,,,,,,
2022-12-01 09:05:09,0.960,,,,,,
2022-12-01 09:35:22,0.980,,,,,,
2022-12-01 10:13:08,0.960,,,,,,
2022-12-01 10:49:07 - 2022-12-01 11:03:07,,,0.233,,,,
2022-12-01 10:53:46,0.970,,,,,,
2022-12-01 14:01:58,0.920,,,,,,
2022-12-01 15:01:59,0.950,,,,,,
2022-12-01 16:08:27,0.970,,,,,,
2022-12-01 23:31:53,1.000,,,,,,
2022-12-01 23:54:12 - 2022-12-02 00:14:34,,,,,,,0.339
2022-12-02 00:31:00 - 2022-12-02 00:31:07,,,,,,,0.002
2022-12-02 00:50:07 - 2022-12-02 00:50:39,,,,,,,0.009
2022-12-02 01:35:14 - 2022-12-02 01:44:14,,,,,,,0.150
2022-12-02 01:44:25 - 2022-12-02 07:00:00,,,,,,,5.260
2022-12-02 01:45:27 - 2022-12-02 02:33:27,,,0.800,,,,
2022-12-02 02:34:57 - 2022-12-02 08:34:57,,,6.000,,,,
2022-12-02 03:41:12,0.990,,,,,,
