Date,Oxygen saturation(%),Time REM(hr),Time asleep(hr),Time awake(hr),Time core(hr),Time deep(hr),Time in bed(hr)
2023-03-18 03:20:38 - 2023-03-18 03:48:38,,0.467,,,,,
2023-03-18 03:25:16,0.950,,,,,,
2023-03-18 03:48:38 - 2023-03-18 04:53:38,,,,,1.083,,
2023-03-18 04:53:38 - 2023-03-18 05:05:38,,0.200,,,,,
2023-03-18 05:05:38 - 2023-03-18 06:07:08,,,,,1.025,,
2023-03-18 05:22:51,0.970,,,,,,
2023-03-18 05:52:51,0.990,,,,,,
2023-03-18 06:07:08 - 2023-03-18 06:08:08,,,,0.017,,,
2023-03-18 06:08:08 - 2023-03-18 06:10:08,,,,,0.033,,
2023-03-18 06:08:08 - 2023-03-18 08:01:38,,,,,,,1.892
2023-03-18 06:10:08 - 2023-03-18 06:34:08,,0.400,,,,,
2023-03-18 06:25:40,0.980,,,,,,
2023-03-18 06:34:08 - 2023-03-18 07:22:08,,,,,0.800,,
2023-03-18 06:55:41,0.970,,,,,,
2023-03-18 07:22:08 - 2023-03-18 07:24:08,,,,,,0.033,
2023-03-18 07:24:08 - 2023-03-18 07:29:08,,,,,0.083,,
2023-03-18 07:25:42,0.970,,,,,,
2023-03-18 07:29:08 - 2023-03-18 08:00:08,,0.517,,,,,
2023-03-18 08:00:08 - 2023-03-18 08:00:38,,,,,0.008,,
2023-03-18 08:00:38 - 2023-03-18 08:01:08,,0.008,,,,,
2023-03-18 08:01:08 - 2023-03-18 08:01:38,,,,,0.008,,
2023-03-18 08:01:38 - 2023-03-18 08:03:08,,,,0.025,,,
2023-03-18 08:03:08 - 2023-03-18 08:05:08,,,,,0.033,,0.033
2023-03-18 08:50:50,1.000,,,,,,
2023-03-19 00:00:00 - 2023-03-19 02:28:11,,,,,,,2.470
2023-03-19 02:22:50 - 2023-03-19 02:35:51,,,,,,,0.217
2023-03-19 02:29:12 - 2023-03-19 02:31:31,,,,,,,0.039
2023-03-19 02:31:54 - 2023-03-19 02:22:13,,,,,,,0.839
2023-03-19 02:39:28 - 2023-03-19 02:39:34,,,,,,,0.002
2023-03-19 02:40:42 - 2023-03-19 02:43:28,,,,,,,0.046
2023-03-19 02:47:18 - 2023-03-19 02:47:24,,,,,,,0.002
2023-03-19 02:48:00 - 2023-03-19 02:52:44,,,,,,,0.079
2023-03-19 02:59:31 - 2023-03-19 03:01:26,,,,,,,0.032
2023-03-19 03:04:44 - 2023-03-19 06:50:00,,,,,,,3.755
2023-03-19 03:13:26,1.000,,,,,,
2023-03-19 03:20:31 - 2023-03-19 03:42:31,,,,,0.367,,
2023-03-19 03:20:31 - 2023-03-19 04:13:01,,,,,,,0.875
2023-03-19 03:42:31 - 2023-03-19 04:13:01,,,,,,0.508,
2023-03-19 04:11:09,0.980,,,,,,
2023-03-19 04:13:01 - 2023-03-19 04:13:31,,,,0.008,,,
2023-03-19 04:13:31 - 2023-03-19 04:37:31,,,,,0.400,,
2023-03-19 04:13:31 - 2023-03-19 05:27:01,,,,,,,1.225
2023-03-19 04:37:31 - 2023-03-19 05:27:01,,,,,,0.825,
2023-03-19 04:41:10,0.970,,,,,,
2023-03-19 05:11:11,0.970,,,,,,
2023-03-19 05:27:01 - 2023-03-19 05:28:01,,,,0.017,,,
2023-03-19 05:28:01 - 2023-03-19 05:39:01,,,,,0.183,,
2023-03-19 05:28:01 - 2023-03-19 07:35:31,,,,,,,2.125
2023-03-19 05:39:01 - 2023-03-19 05:56:31,,0.292,,,,,
2023-03-19 05:56:31 - 2023-03-19 07:35:31,,,,,1.650,,
2023-03-19 06:11:11,0.920,,,,,,
2023-03-19 06:41:40,0.950,,,,,,
2023-03-19 07:11:41,0.970,,,,,,
2023-03-19 07:35:31 - 2023-03-19 07:36:31,,,,0.017,,,
2023-03-19 07:36:31 - 2023-03-19 07:46:31,,,,,0.167,,
2023-03-19 07:36:31 - 2023-03-19 09:21:01,,,,,,,1.742
2023-03-19 07:46:31 - 2023-03-19 08:09:01,,0.375,,,,,
2023-03-19 07:46:51,0.970,,,,,,
2023-03-19 08:09:01 - 2023-03-19 09:03:01,,,,,0.900,,
2023-03-19 08:16:52,0.920,,,,,,
2023-03-19 08:46:53,0.960,,,,,,
2023-03-19 09:03:01 - 2023-03-19 09:20:01,,,,,,0.283,
2023-03-19 09:16:54,0.930,,,,,,
2023-03-19 09:20:01 - 2023-03-19 09:21:01,,,,,0.017,,
2023-03-19 09:21:01 - 2023-03-19 09:22:01,,,,0.017,,,
2023-03-19 09:22:01 - 2023-03-19 09:24:31,,,,,0.042,,
2023-03-19 09:22:01 - 2023-03-19 10:23:01,,,,,,,1.017
2023-03-19 09:24:31 - 2023-03-19 09:37:31,,0.217,,,,,
2023-03-19 09:37:31 - 2023-03-19 10:23:01,,,,,0.758,,
2023-03-19 09:46:57,0.930,,,,,,
2023-03-19 10:23:01 - 2023-03-19 10:24:01,,,,0.017,,,
2023-03-19 10:24:01 - 2023-03-19 10:28:01,,,,,0.067,,
2023-03-19 10:24:01 - 2023-03-19 10:37:01,,,,,,,0.217
2023-03-19 10:28:01 - 2023-03-19 10:37:01,,0.150,,,,,
2023-03-19 22:13:54,1.000,,,,,,
2023-03-19 23:23:42 - 2023-03-20 00:37:55,,,,,,,1.237
2023-03-20 00:38:33 - 2023-03-20 00:41:47,,,,,,,0.054
2023-03-20 00:43:05 - 2023-03-20 06:50:00,,,,,,,6.116
2023-03-20 01:20:09 - 2023-03-20 01:21:09,,,,,0.017,,0.017
2023-03-20 01:21:09 - 2023-03-20 01:22:09,,,,0.017,,,
2023-03-20 01:22:09 - 2023-03-20 01:33:09,,,,,0.183,,0.183
2023-03-20 01:27:47,0.970,,,,,,
2023-03-20 01:33:09 - 2023-03-20 01:33:39,,,,0.008,,,
2023-03-20 01:33:39 - 2023-03-20 01:45:39,,,,,0.200,,
2023-03-20 01:33:39 - 2023-03-20 07:02:39,,,,,,,5.483
2023-03-20 01:45:39 - 2023-03-20 02:21:09,,,,,,0.592,
2023-03-20 01:57:48,0.990,,,,,,
2023-03-20 02:21:09 - 2023-03-20 02:28:39,,,,,0.125,,
2023-03-20 02:28:39 - 2023-03-20 02:30:09,,0.025,,,,,
2023-03-20 02:30:09 - 2023-03-20 02:53:09,,,,,0.383,,
2023-03-20 02:35:12,0.920,,,,,,
2023-03-20 02:53:09 - 2023-03-20 02:54:39,,,,,,0.025,
2023-03-20 02:54:39 - 2023-03-20 02:58:39,,,,,0.067,,
2023-03-20 02:58:39 - 2023-03-20 03:32:39,,,,,,0.567,
2023-03-20 03:32:39 - 2023-03-20 03:37:39,,,,,0.083,,
2023-03-20 03:37:39 - 2023-03-20 03:55:09,,0.292,,,,,
2023-03-20 03:55:09 - 2023-03-20 04:32:39,,,,,0.625,,
2023-03-20 04:05:13,0.970,,,,,,
2023-03-20 04:32:39 - 2023-03-20 04:39:09,,,,,,0.108,
2023-03-20 04:37:36,0.960,,,,,,
2023-03-20 04:39:09 - 2023-03-20 05:19:09,,,,,0.667,,
2023-03-20 05:19:09 - 2023-03-20 05:36:39,,0.292,,,,,
2023-03-20 05:36:39 - 2023-03-20 06:40:09,,,,,1.058,,
2023-03-20 05:38:05,0.920,,,,,,
2023-03-20 06:32:21,0.950,,,,,,
2023-03-20 06:40:09 - 2023-03-20 06:40:39,,0.008,,,,,
2023-03-20 06:40:39 - 2023-03-20 06:41:39,,,,,0.017,,
2023-03-20 06:41:39 - 2023-03-20 07:02:39,,0.350,,,,,
2023-03-20 07:02:22,0.980,,,,,,
2023-03-20 07:02:39 - 2023-03-20 07:05:09,,,,0.042,,,
2023-03-20 07:05:09 - 2023-03-20 08:11:09,,,,,1.100,,
2023-03-20 07:05:09 - 2023-03-20 08:45:39,,,,,,,1.675
2023-03-20 07:32:22,0.920,,,,,,
2023-03-20 08:06:15,0.960,,,,,,
2023-03-20 08:11:09 - 2023-03-20 08:39:09,,0.467,,,,,
2023-03-20 08:39:09 - 2023-03-20 08:45:39,,,,,0.108,,
2023-03-20 08:44:24,0.950,,,,,,
2023-03-20 15:11:27,0.940,,,,,,
2023-03-21 00:28:30 - 2023-03-21 00:40:13,,,,,,,0.195
2023-03-21 00:30:20,0.980,,,,,,
2023-03-21 00:49:28 - 2023-03-21 00:57:58,,,,,0.142,,0.142
2023-03-21 00:57:58 - 2023-03-21 00:59:58,,,,0.033,,,
2023-03-21 00:58:13 - 2023-03-21 06:50:00,,,,,,,5.863
2023-03-21 00:59:58 - 2023-03-21 01:00:58,,,,,0.017,,0.017
2023-03-21 01:00:58 - 2023-03-21 01:02:28,,,,0.025,,,
2023-03-21 01:02:28 - 2023-03-21 01:15:28,,,,,0.217,,
2023-03-21 01:02:28 - 2023-03-21 05:52:58,,,,,,,4.842
2023-03-21 01:15:28 - 2023-03-21 01:24:58,,,,,,0.158,
2023-03-21 01:24:58 - 2023-03-21 01:53:28,,,,,0.475,,
2023-03-21 01:28:08,0.970,,,,,,
2023-03-21 01:53:28 - 2023-03-21 02:01:28,,,,,,0.133,
2023-03-21 02:01:28 - 2023-03-21 02:08:28,,,,,0.117,,
2023-03-21 02:03:29,0.950,,,,,,
2023-03-21 02:08:28 - 2023-03-21 02:28:28,,0.333,,,,,
2023-03-21 02:28:28 - 2023-03-21 02:43:28,,,,,0.250,,
2023-03-21 02:33:30,0.960,,,,,,
2023-03-21 02:43:28 - 2023-03-21 02:58:28,,,,,,0.250,
2023-03-21 02:58:28 - 2023-03-21 03:17:28,,,,,0.317,,
2023-03-21 03:17:28 - 2023-03-21 03:24:28,,0.117,,,,,
2023-03-21 03:24:28 - 2023-03-21 03:48:28,,,,,0.400,,
2023-03-21 03:33:30,0.950,,,,,,
2023-03-21 03:48:28 - 2023-03-21 03:52:58,,0.075,,,,,
2023-03-21 03:52:58 - 2023-03-21 04:39:28,,,,,0.775,,
2023-03-21 04:13:56,0.950,,,,,,
2023-03-21 04:39:28 - 2023-03-21 05:05:28,,0.433,,,,,
2023-03-21 04:43:57,0.970,,,,,,
2023-03-21 05:05:28 - 2023-03-21 05:52:58,,,,,0.792,,
2023-03-21 05:13:58,0.950,,,,,,
2023-03-21 05:52:58 - 2023-03-21 05:54:58,,,,0.033,,,
2023-03-21 05:54:58 - 2023-03-21 06:08:28,,,,,0.225,,
2023-03-21 05:54:58 - 2023-03-21 06:16:28,,,,,,,0.358
2023-03-21 05:56:27,0.950,,,,,,
2023-03-21 06:08:28 - 2023-03-21 06:16:28,,0.133,,,,,
2023-03-21 06:16:28 - 2023-03-21 06:17:28,,,,0.017,,,
2023-03-21 06:17:28 - 2023-03-21 07:02:28,,,,,0.750,,0.750
2023-03-21 06:54:02,0.950,,,,,,
2023-03-21 07:02:28 - 2023-03-21 07:06:58,,,,0.075,,,
2023-03-21 07:06:58 - 2023-03-21 07:27:58,,,,,0.350,,
2023-03-21 07:06:58 - 2023-03-21 08:50:58,,,,,,,1.733
2023-03-21 07:27:58 - 2023-03-21 07:50:28,,0.375,,,,,
2023-03-21 07:30:26,0.950,,,,,,
2023-03-21 07:50:28 - 2023-03-21 08:46:28,,,,,0.933,,
2023-03-21 08:00:27,0.960,,,,,,
2023-03-21 08:30:28,0.950,,,,,,
2023-03-21 08:46:28 - 2023-03-21 08:50:58,,0.075,,,,,
2023-03-21 08:50:58 - 2023-03-21 08:51:58,,,,0.017,,,
2023-03-21 08:51:58 - 2023-03-21 08:53:58,,0.033,,,,,0.033
2023-03-21 08:53:58 - 2023-03-21 08:54:28,,,,0.008,,,
2023-03-21 08:54:28 - 2023-03-21 08:57:28,,,,,0.050,,
2023-03-21 08:54:28 - 2023-03-21 09:11:28,,,,,,,0.283
2023-03-21 08:57:28 - 2023-03-21 09:11:28,,0.233,,,,,
2023-03-21 23:00:00 - 2023-03-22 06:37:28,,,,,,,7.624
2023-03-21 23:06:26,0.920,,,,,,
2023-03-21 23:46:19 - 2023-03-22 00:03:49,,,,,0.292,,
2023-03-21 23:46:19 - 2023-03-22 02:13:19,,,,,,,2.450
2023-03-22 00:03:49 - 2023-03-22 00:56:19,,,,,,0.875,
2023-03-22 00:06:27,0.860,,,,,,
2023-03-22 00:36:27,0.850,,,,,,
2023-03-22 00:56:19 - 2023-03-22 00:59:49,,,,,0.058,,
2023-03-22 00:59:49 - 2023-03-22 01:14:19,,0.242,,,,,
2023-03-22 01:07:13,0.940,,,,,,
2023-03-22 01:14:19 - 2023-03-22 02:13:19,,,,,0.983,,
2023-03-22 02:13:19 - 2023-03-22 02:14:19,,,,0.017,,,
2023-03-22 02:14:19 - 2023-03-22 02:20:19,,,,,0.100,,
2023-03-22 02:14:19 - 2023-03-22 06:34:19,,,,,,,4.333
2023-03-22 02:20:19 - 2023-03-22 02:35:49,,0.258,,,,,
2023-03-22 02:35:49 - 2023-03-22 03:47:49,,,,,1.200,,
2023-03-22 02:42:04,0.920,,,,,,
2023-03-22 03:12:05,0.960,,,,,,
2023-03-22 03:42:06,0.980,,,,,,
2023-03-22 03:47:49 - 2023-03-22 04:06:49,,0.317,,,,,
2023-03-22 04:06:49 - 2023-03-22 05:07:19,,,,,1.008,,
2023-03-22 04:12:07,0.920,,,,,,
2023-03-22 05:07:19 - 2023-03-22 05:39:19,,0.533,,,,,
2023-03-22 05:12:08,0.900,,,,,,
2023-03-22 05:39:19 - 2023-03-22 06:34:19,,,,,0.917,,
2023-03-22 05:42:09,0.930,,,,,,
2023-03-22 06:12:10,0.930,,,,,,
2023-03-22 06:34:19 - 2023-03-22 06:34:49,,,,0.008,,,
2023-03-22 06:34:49 - 2023-03-22 06:44:19,,,,,0.158,,
2023-03-22 06:34:49 - 2023-03-22 07:01:49,,,,,,,0.450
2023-03-22 06:37:34 - 2023-03-22 06:50:00,,,,,,,0.207
2023-03-22 06:42:11,0.940,,,,,,
2023-03-22 06:44:19 - 2023-03-22 07:01:19,,0.283,,,,,
2023-03-22 07:01:19 - 2023-03-22 07:01:49,,,,,0.008,,
2023-03-22 07:01:49 - 2023-03-22 07:03:19,,,,0.025,,,
2023-03-22 07:03:19 - 2023-03-22 07:32:49,,,,,0.492,,
2023-03-22 07:03:19 - 2023-03-22 08:01:19,,,,,,,0.967
2023-03-22 07:12:11,0.930,,,,,,
2023-03-22 07:32:49 - 2023-03-22 07:33:49,,0.017,,,,,
2023-03-22 07:33:49 - 2023-03-22 07:36:19,,,,,0.042,,
2023-03-22 07:36:19 - 2023-03-22 08:01:19,,0.417,,,,,
2023-03-22 08:01:19 - 2023-03-22 08:02:19,,,,0.017,,,
2023-03-22 08:01:40,0.920,,,,,,
2023-03-22 08:02:19 - 2023-03-22 08:03:49,,,,,0.025,,
2023-03-22 08:02:19 - 2023-03-22 08:07:19,,,,,,,0.083
2023-03-22 08:03:49 - 2023-03-22 08:07:19,,0.058,,,,,
2023-03-22 08:07:19 - 2023-03-22 08:08:49,,,,0.025,,,
2023-03-22 08:08:49 - 2023-03-22 08:09:49,,,,,0.017,,
2023-03-22 08:08:49 - 2023-03-22 08:10:49,,,,,,,0.033
2023-03-22 08:09:49 - 2023-03-22 08:10:49,,0.017,,,,,
2023-03-22 08:10:49 - 2023-03-22 08:11:49,,,,0.017,,,
2023-03-22 08:11:49 - 2023-03-22 08:12:49,,0.017,,,,,0.017
2023-03-22 09:32:42,0.890,,,,,,
2023-03-22 11:34:29,1.000,,,,,,
2023-03-22 13:53:38,0.960,,,,,,
2023-03-22 15:50:32,0.950,,,,,,
2023-03-22 18:41:52,0.910,,,,,,
2023-03-22 19:41:50,0.990,,,,,,
2023-03-22 23:46:55 - 2023-03-23 06:50:02,,,,,,,7.052
2023-03-23 00:07:46,0.890,,,,,,
2023-03-23 00:09:46 - 2023-03-23 00:37:46,,,,,0.467,,
2023-03-23 00:09:46 - 2023-03-23 02:17:16,,,,,,,2.125
2023-03-23 00:37:46 - 2023-03-23 00:58:16,,,,,,0.342,
2023-03-23 00:58:16 - 2023-03-23 01:18:46,,,,,0.342,,
2023-03-23 00:59:50,0.930,,,,,,
2023-03-23 01:18:46 - 2023-03-23 01:43:46,,0.417,,,,,
2023-03-23 01:43:46 - 2023-03-23 01:55:46,,,,,0.200,,
2023-03-23 01:55:46 - 2023-03-23 02:17:16,,,,,,0.358,
2023-03-23 02:17:16 - 2023-03-23 02:18:16,,,,0.017,,,
2023-03-23 02:18:16 - 2023-03-23 03:06:46,,,,,0.808,,
2023-03-23 02:18:16 - 2023-03-23 07:33:16,,,,,,,5.250
2023-03-23 02:20:23,0.920,,,,,,
2023-03-23 02:50:24,0.850,,,,,,
2023-03-23 03:06:46 - 2023-03-23 03:11:16,,,,,,0.075,
2023-03-23 03:11:16 - 2023-03-23 03:50:46,,,,,0.658,,
2023-03-23 03:20:45,0.930,,,,,,
2023-03-23 03:50:46 - 2023-03-23 03:52:46,,0.033,,,,,
2023-03-23 03:51:20,0.970,,,,,,
2023-03-23 03:52:46 - 2023-03-23 03:53:46,,,,,0.017,,
2023-03-23 03:53:46 - 2023-03-23 04:18:46,,0.417,,,,,
2023-03-23 04:18:46 - 2023-03-23 04:51:46,,,,,0.550,,
2023-03-23 04:22:26,0.920,,,,,,
2023-03-23 04:51:46 - 2023-03-23 05:09:46,,,,,,0.300,
2023-03-23 04:52:27,0.920,,,,,,
2023-03-23 05:09:46 - 2023-03-23 05:44:46,,,,,0.583,,
2023-03-23 05:22:28,0.900,,,,,,
2023-03-23 05:44:46 - 2023-03-23 06:22:16,,0.625,,,,,
2023-03-23 06:22:16 - 2023-03-23 06:53:46,,,,,0.525,,
2023-03-23 06:37:07,0.980,,,,,,
2023-03-23 06:53:46 - 2023-03-23 07:01:46,,,,,,0.133,
2023-03-23 07:01:46 - 2023-03-23 07:19:16,,,,,0.292,,
2023-03-23 07:19:16 - 2023-03-23 07:33:16,,0.233,,,,,
2023-03-23 07:33:16 - 2023-03-23 07:33:46,,,,0.008,,,
2023-03-23 07:33:46 - 2023-03-23 07:39:46,,,,,0.100,,
2023-03-23 07:33:46 - 2023-03-23 07:42:16,,,,,,,0.142
2023-03-23 07:38:31,0.850,,,,,,
2023-03-23 07:39:46 - 2023-03-23 07:41:46,,0.033,,,,,
2023-03-23 07:41:46 - 2023-03-23 07:42:16,,,,,0.008,,
2023-03-23 07:42:16 - 2023-03-23 07:43:16,,,,0.017,,,
2023-03-23 07:43:16 - 2023-03-23 07:47:16,,,,,0.067,,
2023-03-23 07:43:16 - 2023-03-23 08:01:16,,,,,,,0.300
2023-03-23 07:47:16 - 2023-03-23 07:49:46,,0.042,,,,,
2023-03-23 07:49:46 - 2023-03-23 08:00:46,,,,,0.183,,
2023-03-23 08:00:46 - 2023-03-23 08:01:16,,0.008,,,,,
2023-03-23 08:23:30,1.000,,,,,,
2023-03-23 10:16:15,1.000,,,,,,
2023-03-23 20:01:09,1.000,,,,,,
2023-03-23 23:51:30 - 2023-03-23 23:54:02,,,,,,,0.042
2023-03-24 00:01:46,0.980,,,,,,
2023-03-24 00:54:50 - 2023-03-24 00:57:12,,,,,,,0.039
2023-03-24 01:03:22,1.000,,,,,,
2023-03-24 01:42:28 - 2023-03-24 06:50:02,,,,,,,5.126
2023-03-24 02:01:05 - 2023-03-24 02:26:05,,,,,0.417,,
2023-03-24 02:01:05 - 2023-03-24 04:58:05,,,,,,,2.950
2023-03-24 02:03:23,0.940,,,,,,
2023-03-24 02:26:05 - 2023-03-24 02:31:35,,,,,,0.092,
2023-03-24 02:31:35 - 2023-03-24 02:39:35,,,,,0.133,,
2023-03-24 02:39:35 - 2023-03-24 02:57:05,,,,,,0.292,
2023-03-24 02:52:44,0.890,,,,,,
2023-03-24 02:57:05 - 2023-03-24 03:05:05,,,,,0.133,,
2023-03-24 03:05:05 - 2023-03-24 03:22:05,,0.283,,,,,
2023-03-24 03:22:05 - 2023-03-24 03:36:35,,,,,0.242,,
2023-03-24 03:22:45,0.910,,,,,,
2023-03-24 03:36:35 - 2023-03-24 03:41:35,,,,,,0.083,
2023-03-24 03:41:35 - 2023-03-24 03:46:05,,,,,0.075,,
2023-03-24 03:46:05 - 2023-03-24 04:13:05,,,,,,0.450,
2023-03-24 03:52:46,0.930,,,,,,
2023-03-24 04:13:05 - 2023-03-24 04:25:05,,,,,0.200,,
2023-03-24 04:24:29,0.950,,,,,,
2023-03-24 04:25:05 - 2023-03-24 04:38:05,,0.217,,,,,
2023-03-24 04:38:05 - 2023-03-24 04:58:05,,,,,0.333,,
2023-03-24 04:58:05 - 2023-03-24 04:59:05,,,,0.017,,,
2023-03-24 04:59:05 - 2023-03-24 05:15:35,,,,,0.275,,
2023-03-24 04:59:05 - 2023-03-24 07:06:35,,,,,,,2.125
2023-03-24 05:15:35 - 2023-03-24 05:44:05,,,,,,0.475,
2023-03-24 05:44:05 - 2023-03-24 06:41:05,,,,,0.950,,
2023-03-24 06:02:00,0.910,,,,,,
2023-03-24 06:41:05 - 2023-03-24 07:06:35,,0.425,,,,,
2023-03-24 07:06:35 - 2023-03-24 07:07:05,,,,0.008,,,
2023-03-24 07:07:05 - 2023-03-24 07:54:35,,,,,0.792,,
2023-03-24 07:07:05 - 2023-03-24 10:00:35,,,,,,,2.892
2023-03-24 07:32:02,1.000,,,,,,
2023-03-24 07:54:35 - 2023-03-24 08:15:35,,0.350,,,,,
2023-03-24 08:15:35 - 2023-03-24 09:00:05,,,,,0.742,,
2023-03-24 08:32:03,0.930,,,,,,
2023-03-24 09:00:05 - 2023-03-24 09:27:05,,0.450,,,,,
2023-03-24 09:05:21,0.950,,,,,,
2023-03-24 09:27:05 - 2023-03-24 10:00:35,,,,,0.558,,
2023-03-24 09:35:22,0.970,,,,,,
2023-03-24 10:05:23,0.950,,,,,,
2023-03-24 11:08:21,0.950,,,,,,
2023-03-24 23:51:45 - 2023-03-24 23:57:53,,,,,,,0.102
2023-03-25 01:00:53 - 2023-03-25 01:04:53,,,,,0.067,,0.067
2023-03-25 01:04:53 - 2023-03-25 01:05:23,,,,0.008,,,
2023-03-25 01:05:23 - 2023-03-25 01:22:53,,,,,0.292,,
2023-03-25 01:05:23 - 2023-03-25 04:07:53,,,,,,,3.042
2023-03-25 01:15:04 - 2023-03-25 06:50:00,,,,,,,5.582
2023-03-25 01:22:53 - 2023-03-25 01:41:53,,,,,,0.317,
2023-03-25 01:41:53 - 2023-03-25 01:47:23,,,,,0.092,,
2023-03-25 01:47:23 - 2023-03-25 02:18:53,,,,,,0.525,
2023-03-25 02:18:53 - 2023-03-25 02:23:23,,,,,0.075,,
2023-03-25 02:23:23 - 2023-03-25 02:46:53,,0.392,,,,,
2023-03-25 02:46:53 - 2023-03-25 03:10:53,,,,,0.400,,
2023-03-25 02:49:14,0.930,,,,,,
2023-03-25 03:10:53 - 2023-03-25 03:16:23,,,,,,0.092,
2023-03-25 03:16:23 - 2023-03-25 03:46:53,,,,,0.508,,
2023-03-25 03:46:53 - 2023-03-25 04:07:53,,0.350,,,,,
2023-03-25 03:49:13,0.990,,,,,,
2023-03-25 04:07:53 - 2023-03-25 04:15:53,,,,0.133,,,
2023-03-25 04:15:53 - 2023-03-25 04:36:23,,,,,0.342,,
2023-03-25 04:15:53 - 2023-03-25 09:18:23,,,,,,,5.042
2023-03-25 04:36:23 - 2023-03-25 04:44:53,,0.142,,,,,
2023-03-25 04:44:53 - 2023-03-25 05:15:23,,,,,0.508,,
2023-03-25 05:15:23 - 2023-03-25 05:41:53,,,,,,0.442,
2023-03-25 05:41:53 - 2023-03-25 06:06:53,,,,,0.417,,
2023-03-25 05:57:45,0.900,,,,,,
2023-03-25 06:06:53 - 2023-03-25 06:28:53,,0.367,,,,,
2023-03-25 06:28:53 - 2023-03-25 07:27:53,,,,,0.983,,
2023-03-25 06:30:40,0.930,,,,,,
2023-03-25 07:00:40,0.860,,,,,,
2023-03-25 07:27:53 - 2023-03-25 07:53:23,,0.425,,,,,
2023-03-25 07:30:41,0.950,,,,,,
2023-03-25 07:53:23 - 2023-03-25 08:44:23,,,,,0.850,,
2023-03-25 08:00:42,0.970,,,,,,
2023-03-25 08:44:23 - 2023-03-25 09:10:23,,0.433,,,,,
2023-03-25 08:48:58,0.950,,,,,,
2023-03-25 09:10:23 - 2023-03-25 09:18:23,,,,,0.133,,
2023-03-25 09:18:59,0.970,,,,,,
2023-03-25 10:10:30,0.880,,,,,,
2023-03-26 00:12:09 - 2023-03-26 00:21:40,,,,,,,0.159
2023-03-26 01:15:07,0.960,,,,,,
2023-03-26 01:37:09 - 2023-03-26 01:37:21,,,,,,,0.003
2023-03-26 02:08:49 - 2023-03-26 02:09:19,,,,,,,0.008
2023-03-26 02:11:56 - 2023-03-26 02:29:26,,,,,0.292,,0.292
2023-03-26 02:12:10,0.980,,,,,,
2023-03-26 02:29:26 - 2023-03-26 02:30:56,,,,0.025,,,
2023-03-26 02:30:09 - 2023-03-26 05:50:02,,,,,,,3.332
2023-03-26 02:30:56 - 2023-03-26 02:36:56,,,,,0.100,,0.100
2023-03-26 02:36:56 - 2023-03-26 02:37:26,,,,0.008,,,
2023-03-26 02:37:26 - 2023-03-26 02:55:26,,,,,0.300,,
2023-03-26 02:37:26 - 2023-03-26 06:03:56,,,,,,,3.442
2023-03-26 02:42:11,0.890,,,,,,
2023-03-26 02:55:26 - 2023-03-26 03:04:56,,,,,,0.158,
2023-03-26 03:04:56 - 2023-03-26 03:08:56,,,,,0.067,,
2023-03-26 03:08:56 - 2023-03-26 03:26:56,,,,,,0.300,
2023-03-26 03:12:12,0.930,,,,,,
2023-03-26 03:26:56 - 2023-03-26 04:20:56,,,,,0.900,,
2023-03-26 03:48:30,0.920,,,,,,
2023-03-26 04:18:31,0.930,,,,,,
2023-03-26 04:20:56 - 2023-03-26 04:53:26,,,,,,0.542,
2023-03-26 04:48:36,0.930,,,,,,
2023-03-26 04:53:26 - 2023-03-26 04:59:26,,,,,0.100,,
2023-03-26 04:59:26 - 2023-03-26 05:17:56,,0.308,,,,,
2023-03-26 05:17:56 - 2023-03-26 05:46:26,,,,,0.475,,
2023-03-26 05:18:37,0.940,,,,,,
2023-03-26 05:46:26 - 2023-03-26 06:03:26,,,,,,0.283,
2023-03-26 06:03:26 - 2023-03-26 06:03:56,,,,,0.008,,
2023-03-26 06:03:56 - 2023-03-26 06:04:26,,,,0.008,,,
2023-03-26 06:04:26 - 2023-03-26 06:14:26,,,,,0.167,,
2023-03-26 06:04:26 - 2023-03-26 06:34:26,,,,,,,0.500
2023-03-26 06:14:26 - 2023-03-26 06:34:26,,0.333,,,,,
2023-03-26 06:34:26 - 2023-03-26 06:34:56,,,,0.008,,,
2023-03-26 06:34:56 - 2023-03-26 06:40:26,,,,,0.092,,
2023-03-26 06:34:56 - 2023-03-26 07:38:56,,,,,,,1.067
2023-03-26 06:38:34,0.900,,,,,,
2023-03-26 06:40:26 - 2023-03-26 06:43:26,,0.050,,,,,
2023-03-26 06:43:26 - 2023-03-26 07:38:56,,,,,0.925,,
2023-03-26 07:38:35,0.900,,,,,,
2023-03-26 07:38:56 - 2023-03-26 07:39:56,,,,0.017,,,
2023-03-26 07:39:56 - 2023-03-26 07:43:26,,,,,0.058,,
2023-03-26 07:39:56 - 2023-03-26 10:21:26,,,,,,,2.692
2023-03-26 07:43:26 - 2023-03-26 08:18:26,,0.583,,,,,
2023-03-26 08:08:35,0.980,,,,,,
2023-03-26 08:18:26 - 2023-03-26 09:13:26,,,,,0.917,,
2023-03-26 08:38:34,0.960,,,,,,
2023-03-26 09:08:35,0.940,,,,,,
2023-03-26 09:13:26 - 2023-03-26 09:34:26,,0.350,,,,,
2023-03-26 09:34:26 - 2023-03-26 10:21:26,,,,,0.783,,
2023-03-26 10:08:36,0.970,,,,,,
2023-03-26 11:14:20,0.960,,,,,,
2023-03-26 14:19:39,0.980,,,,,,
