Date,Environmental sound levels(dBASPL),Headphone sound levels(dBASPL),Oxygen saturation(%)
2023-06-01 04:36:00 - 2023-06-01 05:06:00,34.094,,
2023-06-01 05:06:00 - 2023-06-01 05:36:00,55.645,,
2023-06-01 05:18:36,,,0.890
2023-06-01 05:36:00 - 2023-06-01 06:05:55,47.454,,
2023-06-01 05:48:37,,,0.930
2023-06-01 06:05:55 - 2023-06-01 06:35:55,37.891,,
2023-06-01 06:35:55 - 2023-06-01 07:05:55,35.331,,
2023-06-01 06:54:26,,,0.930
2023-06-01 07:05:55 - 2023-06-01 07:35:50,39.599,,
2023-06-01 07:24:27,,,0.930
2023-06-01 07:35:50 - 2023-06-01 08:05:45,54.246,,
2023-06-01 07:54:28,,,0.960
2023-06-01 08:05:45 - 2023-06-01 08:35:40,41.206,,
2023-06-01 08:24:29,,,1.000
2023-06-01 08:35:40 - 2023-06-01 09:05:40,53.611,,
2023-06-01 09:05:40 - 2023-06-01 09:35:35,34.888,,
2023-06-01 09:35:35 - 2023-06-01 10:05:35,55.541,,
2023-06-01 09:55:40,,,0.990
2023-06-01 10:05:35 - 2023-06-01 10:35:30,44.647,,
2023-06-01 10:35:30 - 2023-06-01 11:05:25,53.985,,
2023-06-01 10:36:23,,,0.950
2023-06-01 11:05:25 - 2023-06-01 11:26:15,61.585,,
2023-06-01 11:46:13 - 2023-06-01 12:16:08,63.597,,
2023-06-01 12:16:08 - 2023-06-01 12:46:08,75.297,,
2023-06-01 12:46:08 - 2023-06-01 13:16:08,71.155,,
2023-06-01 13:16:08 - 2023-06-01 13:46:03,64.836,,
2023-06-01 13:46:03 - 2023-06-01 14:15:58,68.225,,
2023-06-01 14:15:58 - 2023-06-01 14:45:53,67.425,,
2023-06-01 14:45:53 - 2023-06-01 15:15:48,78.530,,
2023-06-01 15:15:48 - 2023-06-01 15:45:43,72.395,,
2023-06-01 15:45:43 - 2023-06-01 16:15:38,63.748,,
2023-06-01 16:15:38 - 2023-06-01 16:45:38,66.281,,
2023-06-01 16:45:38 - 2023-06-01 17:15:38,63.949,,
2023-06-01 17:15:38 - 2023-06-01 17:45:38,56.406,,
2023-06-01 17:45:38 - 2023-06-01 18:15:33,58.013,,
2023-06-01 18:15:33 - 2023-06-01 18:45:28,69.111,,
2023-06-01 18:45:28 - 2023-06-01 19:15:23,70.274,,
2023-06-01 19:15:23 - 2023-06-01 19:45:23,67.418,,
2023-06-01 19:45:23 - 2023-06-01 20:15:21,64.979,,
2023-06-01 20:15:21 - 2023-06-01 20:26:01,64.380,,
2023-06-01 22:20:44 - 2023-06-01 22:50:39,46.447,,
2023-06-01 22:50:39 - 2023-06-01 23:20:34,52.288,,
2023-06-01 23:20:34 - 2023-06-01 23:50:29,57.522,,
2023-06-01 23:50:29 - 2023-06-02 00:20:24,46.787,,
2023-06-02 00:20:24 - 2023-06-02 00:50:19,62.604,,
2023-06-02 00:50:19 - 2023-06-02 01:20:14,38.133,,
2023-06-02 01:20:14 - 2023-06-02 01:50:09,43.946,,
2023-06-02 01:44:36,,,0.890
2023-06-02 01:50:09 - 2023-06-02 02:20:04,41.970,,
2023-06-02 02:14:37,,,0.990
2023-06-02 02:20:04 - 2023-06-02 02:49:59,37.603,,
2023-06-02 02:44:38,,,0.950
2023-06-02 02:49:59 - 2023-06-02 03:19:54,33.209,,
2023-06-02 03:14:39,,,0.930
2023-06-02 03:19:54 - 2023-06-02 03:49:49,58.607,,
2023-06-02 03:44:40,,,0.940
